date,realReturn
1936.02,8547.62
1936.03,8818.11
1936.04,8855.52
1936.05,8411.82
1936.06,8733.64
1936.07,9212.36
1936.08,9357.69
1936.09,9493.8
1936.1,10022.55
1936.11,10335.24
1936.12,10192.35
1937.01,10470.55
1937.02,10816.79
1937.03,10765.82
1937.04,10090.71
1937.05,9612.68
1937.06,9293.24
1937.07,9818.11
1937.08,9958.01
1937.09,8527.54
1937.1,7325.85
1937.11,6767.18
1937.12,6745.22
1938.01,7061.27
1938.02,6982.8
1938.03,6562.19
1938.04,6290.91
1938.05,6433.4
1938.06,6621.42
1938.07,7976.47
1938.08,8059.37
1938.09,7728.75
1938.1,8685.46
1938.11,8723.14
1938.12,8497.89
1939.01,8399.3
1939.02,8421.19
1939.03,8443.83
1939.04,7464.1
1939.05,7770.03
1939.06,7938.97
1939.07,8164.71
1939.08,8078.13
1939.09,8780.93
1939.1,8967.15
1939.11,8842.03
1939.12,8668.72
1940.01,8718.34
1940.02,8636.52
1940.03,8624.15
1940.04,8746.99
1940.05,7580.45
1940.06,6917.84
1940.07,7237.24
1940.08,7429.42
1940.09,7783.29
1940.1,7897.39
1940.11,8122.49
1940.12,7775.36
1941.01,7831.56
1941.02,7383.48
1941.03,7417.97
1941.04,7178.76
1941.05,7015.93
1941.06,7155.16
1941.07,7564.07
1941.08,7468.4
1941.09,7433.24
1941.1,7084.33
1941.11,6751.13
1941.12,6313.26
1942.01,6395.5
1942.02,6197.07
1942.03,5827.78
1942.04,5590.98
1942.05,5625.1
1942.06,5947.85
1942.07,6169.82
1942.08,6134.4
1942.09,6235.57
1942.1,6651.23
1942.11,6753.52
1942.12,6783.86
1943.01,7225.08
1943.02,7689.92
1943.03,7859.13
1943.04,8062.96
1943.05,8366.7
1943.06,8549.06
1943.07,8810.98
1943.08,8459.88
1943.09,8626.19
1943.1,8583.23
1943.11,8222.38
1943.12,8368.13
1944.01,8675.09
1944.02,8654.15
1944.03,8934.77
1944.04,8767.68
1944.05,8961.04
1944.06,9368.52
1944.07,9597.02
1944.08,9495.93
1944.09,9379.79
1944.1,9650.27
1944.11,9622.86
1944.12,9817.59
1945.01,10150.05
1945.02,10529.19
1945.03,10562.55
1945.04,10869.01
1945.05,11258
1945.06,11377.14
1945.07,11184.46
1945.08,11263.71
1945.09,12072.6
1945.1,12617.54
1945.11,13072.54
1945.12,13263.93
1946.01,13834.56
1946.02,13992.91
1946.03,13469.79
1946.04,14303.44
1946.05,14299.83
1946.06,14098.97
1946.07,12976.67
1946.08,12513.39
1946.09,10603.86
1946.1,10205.62
1946.11,9965.12
1946.12,10207.88
1947.01,10301.96
1947.02,10742.03
1947.03,10158.7
1947.04,9824.4
1947.05,9691.31
1947.06,10026.24
1947.07,10601.55
1947.08,10297.69
1947.09,9856.08
1947.1,10155.31
1947.11,10038.45
1947.12,9799.43
1948.01,9591.88
1948.02,9243.36
1948.03,9461.16
1948.04,10063.78
1948.05,10555.84
1948.06,10948.43
1948.07,10602.55
1948.08,10296.87
1948.09,10227.43
1948.1,10597.86
1948.11,10141.49
1948.12,10168.59
1949.01,10378.27
1949.02,10118.18
1949.03,10270.03
1949.04,10270.12
1949.05,10295.19
1949.06,9749.22
1949.07,10447.67
1949.08,10838.04
1949.09,10995.05
1949.1,11438.18
1949.11,11613.92
1949.12,12094.03
1950.01,12465.53
1950.02,12780.62
1950.03,12902.09
1950.04,13339.6
1950.05,13803.9
1950.06,14044.07
1950.07,12939.41
1950.08,13687.38
1950.09,14194.01
1950.1,14746.18
1950.11,14744.58
1950.12,14598.87
1951.01,15521.32
1951.02,16002.11
1951.03,15763.78
1951.04,16068.25
1951.05,16107.63
1951.06,15924
1951.07,16300.04
1951.08,17108.56
1951.09,17509.01
1951.1,17444.86
1951.11,16920.32
1951.12,17463.26
1952.01,18132.97
1952.02,18027.7
1952.03,18163.07
1952.04,18131.63
1952.05,18215.64
1952.06,18736.38
1952.07,19222.13
1952.08,19391.38
1952.09,19176.4
1952.1,18866.63
1952.11,19557.69
1952.12,20438.69
1953.01,20718.4
1953.02,20635.72
1953.03,20754.9
1953.04,19826.78
1953.05,19950.81
1953.06,19258.9
1953.07,19627.46
1953.08,19730.26
1953.09,18919.96
1953.1,19513.46
1953.11,20117.12
1953.12,20487.3
1954.01,21107.27
1954.02,21672.63
1954.03,22232.77
1954.04,23308.42
1954.05,24248.3
1954.06,24544.4
1954.07,25638.89
1954.08,26253.22
1954.09,27073.63
1954.1,27809.18
1954.11,29007.26
1954.12,30559.8
1955.01,31222.98
1955.02,32380.2
1955.03,32239.38
1955.04,33467.37
1955.05,33441.27
1955.06,35496.52
1955.07,38068.58
1955.08,37955.87
1955.09,39637.33
1955.1,37765.02
1955.11,40434.05
1955.12,41087.53
1956.01,40108.72
1956.02,40491.79
1956.03,43411.94
1956.04,43893.64
1956.05,42491.54
1956.06,42070.35
1956.07,44165.18
1956.08,44201.76
1956.09,42681.11
1956.1,42117.86
1956.11,41815.25
1956.12,42414.89
1957.01,41624.61
1957.02,39816.87
1957.03,40316.32
1957.04,41233.97
1957.05,42795.99
1957.06,43477.03
1957.07,44172.98
1957.08,41874.48
1957.09,40309.37
1957.1,37933.24
1957.11,37119.88
1957.12,37238.7
1958.01,37838.9
1958.02,38103.97
1958.03,38754.16
1958.04,38965.26
1958.05,40350.56
1958.06,41453.2
1958.07,42578.79
1958.08,44458.37
1958.09,45767.11
1958.1,47762.62
1958.11,49181.66
1958.12,50419.57
1959.01,52384.03
1959.02,51900.84
1959.03,53357.8
1959.04,54204.01
1959.05,55161.46
1959.06,54639.16
1959.07,56754.57
1959.08,56574.33
1959.09,54293.84
1959.1,54205.33
1959.11,54568.54
1959.12,56458.85
1960.01,55812.76
1960.02,53618.28
1960.03,53043.13
1960.04,53701.09
1960.05,53365.98
1960.06,55307.05
1960.07,54092.43
1960.08,54898.88
1960.09,53405.22
1960.1,52158.81
1960.11,54005.67
1960.12,55458.77
1961.01,58468.21
1961.02,61025.41
1961.03,63098.2
1961.04,64940.04
1961.05,65760.46
1961.06,65050.12
1961.07,64598.95
1961.08,67303.77
1961.09,66716.6
1961.1,67614.29
1961.11,70842.54
1961.12,71668.11
1962.01,69169.51
1962.02,70256.66
1962.03,70496.79
1962.04,68194.69
1962.05,63295.41
1962.06,56072.22
1962.07,57406.38
1962.08,59142.35
1962.09,58598.61
1962.1,56926.24
1962.11,61026.83
1962.12,63849.98
1963.01,66498.22
1963.02,67559.79
1963.03,67265.93
1963.04,70615.97
1963.05,72220.07
1963.06,72141.42
1963.07,71028.1
1963.08,73181.35
1963.09,75299.22
1963.1,75431.94
1963.11,75202.69
1963.12,76755.37
1964.01,79312.91
1964.02,80488.1
1964.03,82156.49
1964.04,83548.93
1964.05,84569.98
1964.06,84003.03
1964.07,87051.35
1964.08,86263.51
1964.09,87677.89
1964.1,89407.06
1964.11,89957.26
1964.12,88618.36
1965.01,91119.57
1965.02,92009.51
1965.03,92024.79
1965.04,93162.33
1965.05,94778.22
1965.06,89935.16
1965.07,90029.17
1965.08,91937.99
1965.09,95245.65
1965.1,97317.59
1965.11,98366.47
1965.12,97851.42
1966.01,99791.09
1966.02,98742.34
1966.03,94634.62
1966.04,97173.43
1966.05,92308.86
1966.06,91510.54
1966.07,91247.52
1966.08,85458.9
1966.09,82704.76
1966.1,81737.45
1966.11,86082.07
1966.12,86697.65
1967.01,90279.41
1967.02,93647.74
1967.03,95823.81
1967.04,97437.8
1967.05,99143.24
1967.06,97865.13
1967.07,99516.76
1967.08,101057.49
1967.09,102423.74
1967.1,102219.29
1967.11,98979.89
1967.12,101758.82
1968.01,101145.19
1968.02,96557.19
1968.03,94775.41
1968.04,101741.4
1968.05,104042.37
1968.06,106485.8
1968.07,105928.54
1968.08,103584.33
1968.09,106913.45
1968.1,109197.44
1968.11,110834.63
1968.12,111944.15
1969.01,107181.98
1969.02,106329.8
1969.03,103429.02
1969.04,105199.3
1969.05,108597.17
1969.06,102635.39
1969.07,97785.46
1969.08,96981.63
1969.09,97328.7
1969.1,98110.54
1969.11,98560.97
1969.12,93109.53
1970.01,92316.5
1970.02,88895.91
1970.03,90210.23
1970.04,87048.18
1970.05,77099.66
1970.06,76495.51
1970.07,76501.19
1970.08,78992.18
1970.09,83557.29
1970.1,85201.35
1970.11,84944.92
1970.12,90566.76
1971.01,94288.83
1971.02,97955.87
1971.03,100477.16
1971.04,103908.5
1971.05,102247.08
1971.06,99871.62
1971.07,99164.73
1971.08,97420.65
1971.09,99842.64
1971.1,97741.77
1971.11,93468.4
1971.12,99676.13
1972.01,104084.35
1972.02,105741.99
1972.03,108249.92
1972.04,109348.55
1972.05,108239.31
1972.06,108537.02
1972.07,107474.96
1972.08,111276.17
1972.09,109668.38
1972.1,109607.42
1972.11,115096.27
1972.12,117481.6
1973.01,118365.97
1973.02,113630.5
1973.03,111066.74
1973.04,108502.3
1973.05,104992.99
1973.06,102206.76
1973.07,103211.55
1973.08,99724.08
1973.09,101490.16
1973.1,104863.54
1973.11,97041.87
1973.12,89853.52
1974.01,90598.59
1974.02,87236.57
1974.03,90083.75
1974.04,85389.01
1974.05,82054.52
1974.06,81758.31
1974.07,71896.69
1974.08,68361.91
1974.09,60789.2
1974.1,61625.42
1974.11,63436.02
1974.12,59112.72
1975.01,63970.98
1975.02,70346.29
1975.03,73566.52
1975.04,74379.18
1975.05,78925.37
1975.06,80604.88
1975.07,80056.93
1975.08,74318.83
1975.09,73280.26
1975.1,76502.15
1975.11,77498.72
1975.12,76307.82
1976.01,83441.52
1976.02,86616.49
1976.03,87155.55
1976.04,87797.85
1976.05,86843.81
1976.06,87164.76
1976.07,89019.97
1976.08,88060.38
1976.09,89896.1
1976.1,86655.34
1976.11,86193.48
1976.12,89154.5
1977.01,88224.07
1977.02,85263.2
1977.03,84647.38
1977.04,82943.93
1977.05,82588.44
1977.06,82786.33
1977.07,83438.88
1977.08,81440.72
1977.09,80224.59
1977.1,78210.54
1977.11,78599.05
1977.12,78287.05
1978.01,75151.78
1978.02,73951.04
1978.03,73565.72
1978.04,76518.01
1978.05,79981.33
1978.06,79658.05
1978.07,79005.06
1978.08,84411.71
1978.09,84114.34
1978.1,81051.27
1978.11,76303.95
1978.12,77427.63
1979.01,79962.45
1979.02,78204.17
1979.03,79235.26
1979.04,80244.76
1979.05,77737.77
1979.06,78739.22
1979.07,78987.64
1979.08,82165.17
1979.09,82539.76
1979.1,79139.05
1979.11,78159.27
1979.12,80753.18
1980.01,82251.6
1980.02,84673.17
1980.03,76086.56
1980.04,74369.61
1980.05,77353.78
1980.06,81765.5
1980.07,85831.38
1980.08,88202.17
1980.09,89950.11
1980.1,92065.7
1980.11,95527.47
1980.12,93465.59
1981.01,92725.14
1981.02,88960.36
1981.03,92020.44
1981.04,92585.41
1981.05,90380.1
1981.06,90352.37
1981.07,87566.59
1981.08,87602.36
1981.09,79555.72
1981.1,80758.6
1981.11,82952.29
1981.12,83664.8
1982.01,79393.75
1982.02,77628.96
1982.03,75579.99
1982.04,79379.41
1982.05,79083.3
1982.06,73990.01
1982.07,73790.82
1982.08,74225.19
1982.09,83034.52
1982.1,90133.33
1982.11,94381.85
1982.12,96053.63
1983.01,99621.08
1983.02,101639.87
1983.03,105569.64
1983.04,109220.45
1983.05,113363.11
1983.06,115003.72
1983.07,115355.51
1983.08,112242.78
1983.09,115387.68
1983.1,115792.07
1983.11,114245.89
1983.12,113988.61
1984.01,115104.96
1984.02,108689
1984.03,108958.72
1984.04,108982.75
1984.05,108394.58
1984.06,106085.82
1984.07,104719.5
1984.08,113924.17
1984.09,114978.26
1984.1,114180.74
1984.11,115651.88
1984.12,114836.47
1985.01,120005.58
1985.02,126354.43
1985.03,125279.82
1985.04,125973.15
1985.05,128938.4
1985.06,131809.03
1985.07,134522.96
1985.08,131798.01
1985.09,128957.36
1985.1,130405.52
1985.11,138397.43
1985.12,145326.09
1986.01,146020.1
1986.02,154765.19
1986.03,165091.54
1986.04,169931.36
1986.05,170298.28
1986.06,174673.33
1986.07,171524.95
1986.08,175119.91
1986.09,170046.08
1986.1,169740.22
1986.11,175578.86
1986.12,178418.78
1987.01,189128.43
1987.02,200629.18
1987.03,208476.69
1987.04,205594.42
1987.05,205224.91
1987.06,213704.58
1987.07,219798.44
1987.08,232759.8
1987.09,224531.33
1987.1,197403.61
1987.11,172969.15
1987.12,170663.48
1988.01,177452.21
1988.02,182887.37
1988.03,187990.85
1988.04,185375.98
1988.05,180707.67
1988.06,190740.71
1988.07,189357.42
1988.08,185325.87
1988.09,187640.46
1988.1,194130.9
1988.11,190056.11
1988.12,194160.36
1989.01,199988.46
1989.02,205743.17
1989.03,204241.45
1989.04,210152.04
1989.05,217569.41
1989.06,224417.1
1989.07,230147.89
1989.08,240563.94
1989.09,240897.05
1989.1,240436.39
1989.11,235520.71
1989.12,241590.32
1990.01,233842.09
1990.02,226869.18
1990.03,231748.68
1990.04,231849.24
1990.05,240225.14
1990.06,246510.69
